x,y,elevation
0,0,14.48
1,0,17.52
2,0,20.83
3,0,24.35
4,0,27.97
5,0,31.58
6,0,35.02
7,0,38.16
8,0,40.84
9,0,42.92
10,0,44.3
11,0,44.9
12,0,44.68
13,0,43.66
14,0,41.9
15,0,39.49
16,0,36.55
17,0,33.25
18,0,29.73
19,0,26.15
20,0,22.63
21,0,19.28
22,0,16.19
23,0,13.4
24,0,10.94
0,1,17.56
1,1,21.25
2,1,25.28
3,1,29.55
4,1,33.95
5,1,38.33
6,1,42.51
7,1,46.33
8,1,49.59
9,1,52.13
10,1,53.82
11,1,54.56
12,1,54.32
13,1,53.1
14,1,50.98
15,1,48.07
16,1,44.53
17,1,40.53
18,1,36.27
19,1,31.92
20,1,27.65
21,1,23.57
22,1,19.8
23,1,16.4
24,1,13.4
0,2,20.96
1,2,25.37
2,2,30.18
3,2,35.29
4,2,40.55
5,2,45.79
6,2,50.8
7,2,55.37
8,2,59.28
9,2,62.34
10,2,64.37
11,2,65.29
12,2,65.02
13,2,63.59
14,2,61.09
15,2,57.64
16,2,53.43
17,2,48.68
18,2,43.6
19,2,38.41
20,2,33.3
21,2,28.42
22,2,23.9
23,2,19.81
24,2,16.19
0,3,24.62
1,3,29.8
2,3,35.47
3,3,41.49
4,3,47.69
5,3,53.87
6,3,59.78
7,3,65.17
8,3,69.78
9,3,73.4
10,3,75.82
11,3,76.92
12,3,76.64
13,3,75.0
14,3,72.09
15,3,68.07
16,3,63.16
17,3,57.59
18,3,51.64
19,3,45.54
20,3,39.52
21,3,33.77
22,3,28.42
23,3,23.57
24,3,19.28
0,4,28.46
1,4,34.48
2,4,41.05
3,4,48.03
4,4,55.23
5,4,62.4
6,4,69.27
7,4,75.54
8,4,80.9
9,4,85.11
10,4,87.94
11,4,89.25
12,4,88.96
13,4,87.1
14,4,83.77
15,4,79.16
16,4,73.51
17,4,67.1
18,4,60.23
19,4,53.18
20,4,46.2
21,4,39.52
22,4,33.3
23,4,27.65
24,4,22.63
0,5,32.41
1,5,39.28
2,5,46.79
3,5,54.78
4,5,63.02
5,5,71.23
6,5,79.09
7,5,86.26
8,5,92.41
9,5,97.23
